company_code,company_name,issue_name,report_year,avg_verifiability_score,record_count
600000,浦发银行,消费者权益保护,2021,5.0,1
600000,浦发银行,消费者权益保护,2022,3.0,1
600000,浦发银行,消费者权益保护,2023,4.0,1
600000,浦发银行,消费者权益保护,2024,4.0,1
600000,浦发银行,消费者权益保护,2025,5.0,1
600000,浦发银行,绿色信贷/绿色金融,2021,5.0,1
600000,浦发银行,绿色信贷/绿色金融,2022,3.0,1
600000,浦发银行,绿色信贷/绿色金融,2023,4.0,1
600000,浦发银行,绿色信贷/绿色金融,2024,4.0,1
600000,浦发银行,绿色信贷/绿色金融,2025,5.0,1
600015,华夏银行,公司治理/风险管理,2022,4.0,3
600015,华夏银行,公司治理/风险管理,2023,3.0,3
600015,华夏银行,公司治理/风险管理,2024,1.0,2
600015,华夏银行,公司治理/风险管理,2025,5.0,3
600015,华夏银行,员工权益,2022,4.0,1
600015,华夏银行,员工权益,2023,3.0,1
600015,华夏银行,员工权益,2024,1.0,1
600015,华夏银行,员工权益,2025,5.0,1
600015,华夏银行,普惠金融,2022,4.0,1
600015,华夏银行,普惠金融,2023,3.0,1
600015,华夏银行,普惠金融,2024,1.0,1
600015,华夏银行,普惠金融,2025,5.0,1
600015,华夏银行,消费者权益保护,2022,4.0,1
600015,华夏银行,消费者权益保护,2023,3.0,1
600015,华夏银行,消费者权益保护,2025,5.0,1
600015,华夏银行,绿色信贷/绿色金融,2021,0.0,2
600015,华夏银行,绿色信贷/绿色金融,2022,4.0,1
600015,华夏银行,绿色信贷/绿色金融,2023,3.0,1
600015,华夏银行,绿色信贷/绿色金融,2024,1.0,1
600015,华夏银行,绿色信贷/绿色金融,2025,5.0,1
600016,民生银行,公司治理/风险管理,2021,4.0,6
600016,民生银行,公司治理/风险管理,2022,3.0,6
600016,民生银行,公司治理/风险管理,2023,3.0,6
600016,民生银行,公司治理/风险管理,2024,3.5,6
600016,民生银行,公司治理/风险管理,2025,4.0,6
600016,民生银行,员工权益,2021,4.0,2
600016,民生银行,员工权益,2022,3.0,2
600016,民生银行,员工权益,2023,3.0,2
600016,民生银行,员工权益,2024,3.5,2
600016,民生银行,员工权益,2025,4.0,2
600016,民生银行,普惠金融,2021,4.0,2
600016,民生银行,普惠金融,2022,3.0,2
600016,民生银行,普惠金融,2023,3.0,2
600016,民生银行,普惠金融,2024,3.5,2
600016,民生银行,普惠金融,2025,4.0,2
600016,民生银行,消费者权益保护,2021,4.0,2
600016,民生银行,消费者权益保护,2022,3.0,2
600016,民生银行,消费者权益保护,2023,3.0,2
600016,民生银行,消费者权益保护,2024,3.5,2
600016,民生银行,消费者权益保护,2025,4.0,2
600016,民生银行,绿色信贷/绿色金融,2021,4.0,2
600016,民生银行,绿色信贷/绿色金融,2022,3.0,2
600016,民生银行,绿色信贷/绿色金融,2023,3.0,2
600016,民生银行,绿色信贷/绿色金融,2024,3.5,2
600016,民生银行,绿色信贷/绿色金融,2025,4.0,2
