stock_code,stock_name,announcement_title,publish_date,pdf_url,source,error_message
601658,邮储银行,中国邮政储蓄银行2021年<em>社会</em><em>责任</em>(环境、<em>社会</em>、管治)<em>报告</em>,2022-03-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601658&announcementId=1212744226&orgId=9900005091&announcementTime=2022-03-31,akshare_cninfo,
601658,邮储银行,中国邮政储蓄银行2022年<em>社会</em><em>责任</em>（环境、<em>社会</em>、管治）<em>报告</em>,2023-03-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601658&announcementId=1216273537&orgId=9900005091&announcementTime=2023-03-31,akshare_cninfo,
601658,邮储银行,中国邮政储蓄银行2023年<em>社会</em><em>责任</em>（环境、<em>社会</em>、管治）<em>报告</em>,2024-03-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601658&announcementId=1219443318&orgId=9900005091&announcementTime=2024-03-29,akshare_cninfo,
601658,邮储银行,中国邮政储蓄银行2024年<em>可持续</em><em>发展</em><em>报告</em>,2025-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601658&announcementId=1222927897&orgId=9900005091&announcementTime=2025-03-28,akshare_cninfo,
601658,邮储银行,中国邮政储蓄银行2025年<em>可持续</em><em>发展</em><em>报告</em>,2026-03-28,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601658&announcementId=1225047866&orgId=9900005091&announcementTime=2026-03-28,akshare_cninfo,
000001,平安银行,2021年<em>社会</em><em>责任</em><em>报告</em>,2022-03-10,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1212533363&orgId=gssz0000001&announcementTime=2022-03-10,akshare_cninfo,
000001,平安银行,2022年<em>社会</em><em>责任</em><em>报告</em>,2023-03-09,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1216072949&orgId=gssz0000001&announcementTime=2023-03-09,akshare_cninfo,
000001,平安银行,2023年<em>社会</em><em>责任</em><em>报告</em>,2024-03-15,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1219306480&orgId=gssz0000001&announcementTime=2024-03-15,akshare_cninfo,
000001,平安银行,2024年<em>可持续</em><em>发展</em><em>报告</em>,2025-03-15,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1222806510&orgId=gssz0000001&announcementTime=2025-03-15,akshare_cninfo,
000001,平安银行,2025年度<em>可持续</em><em>发展</em><em>报告</em>,2026-03-21,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000001&announcementId=1225022899&orgId=gssz0000001&announcementTime=2026-03-21,akshare_cninfo,
600036,招商银行,招商银行股份有限公司2021年<em>可持续</em><em>发展</em><em>报告</em>,2022-03-19,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600036&announcementId=1212626213&orgId=gssh0600036&announcementTime=2022-03-19,akshare_cninfo,
600036,招商银行,招商银行股份有限公司2022年度<em>可持续</em><em>发展</em><em>报告</em>,2023-03-25,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=600036&announcementId=1216221325&orgId=gssh0600036&announcementTime=2023-03-25,akshare_cninfo,
