stock_code,stock_name,announcement_title,publish_date,pdf_url,error_message
002839,张家港行,2025年度<em>可持续</em><em>发展</em><em>报告</em>,2026-03-31,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002839&announcementId=1225053467&orgId=9900022943&announcementTime=2026-03-31,提取链接失败: 请求 API 失败: 504 Server Error: Gateway Time-out for url: https://www.cninfo.com.cn/new/announcement/bulletin_detail
601009,南京银行,南京银行股份有限公司2021年<em>环境</em>、<em>社会</em><em>及</em><em>治理</em><em>报告</em>,2022-04-29,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601009&announcementId=1212795741&orgId=9900003284&announcementTime=2022-04-29,提取链接失败: 请求 API 失败: Expecting value: line 1 column 1 (char 0)
